"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","current_url","subject","success","timeout","failed_images","failed_audio","failed_video","device_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":20293}]","20293","instructions","0","20295","0.0-0.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13432}]","13432","instructions","1","33726","0.0-1.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","",""
"","","preload","2","33934","0.0-2.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","true","false","[]","[]","[]","","",""
"","2863","fullscreen","3","37799","0.0-3.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","true","","","","","","",""
"","","initialize-microphone","4","54587","0.0-4.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","aa0f6cead0b3d13734c2d1951fe13c36236402586a5854a33c70509251ca6c7e","",""
"[{""page_index"":0,""viewing_time"":2066},{""page_index"":1,""viewing_time"":6064}]","8130","instructions","5","62718","0.0-5.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","",""
"","null","image-button-response","6","67223","0.0-6.0-0.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_1.png","null"
"","null","image-button-response","7","69929","0.0-6.0-1.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_1.png","null"
"","null","image-button-response","8","71732","0.0-6.0-2.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","[]","null"
"","null","image-button-response","9","76235","0.0-6.0-0.1","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_2.png","null"
"","1850","image-button-response","10","78086","0.0-6.0-1.1","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_2.png","0"
"","null","image-button-response","11","79891","0.0-6.0-2.1","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","[]","null"
"","null","image-button-response","12","84393","0.0-6.0-0.2","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_3.png","null"
"","1229","image-button-response","13","85623","0.0-6.0-1.2","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_3.png","0"
"","null","image-button-response","14","87426","0.0-6.0-2.2","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","[]","null"
"","null","image-button-response","15","91931","0.0-6.0-0.3","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_4.png","null"
"","958","image-button-response","16","92890","0.0-6.0-1.3","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","images/instructions/movie_4.png","0"
"","null","image-button-response","17","94693","0.0-6.0-2.3","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","[]","null"
"","13473","survey-text","18","108169","0.0-7.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","","{""Q0"":""MALE"",""Q1"":""51"",""Q2"":""A4854B8D763A489EBBF1AD9C0359C5C8""}"
"[{""page_index"":0,""viewing_time"":6040}]","6041","instructions","19","114209","0.0-8.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","",""
"","4285","survey-text","20","118496","0.0-9.0","A4854B8D763A489EBBF1AD9C0359C5C8","8bbb627b-a531-45c0-b550-39e6a998f8c9","7bdd7257-3b67-4aee-804c-4941df32afb5","{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}","https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5","A4854B8D763A489EBBF1AD9C0359C5C8","","","","","","","","{""Q0"":""AJFHBG892""}"
